name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;767;0;884;3133;2119;3133;2135;0
header;71;98;71;130;1760;130;1760;98
A;893;166;893;192;917;192;917;166
A;969;310;969;335;979;335;979;310
A;990;329;990;335;995;335;995;329
B;887;841;887;868;907;868;907;841
C;880;1517;880;1545;900;1545;900;1517
D;877;2192;877;2219;898;2219;898;2192
B;1296;2373;1296;2389;1317;2389;1317;2373
B;1024;2374;1024;2391;1046;2391;1046;2374
C;960;2376;960;2401;982;2401;982;2376
A;1504;2923;1504;2924;1508;2924;1508;2923
