name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;839;0;863;3133;2140;3133;2117;0
header;50;102;50;138;1725;138;1725;102
A;859;171;859;198;882;198;882;171
B;866;844;866;871;885;871;885;844
C;943;1284;943;1309;967;1309;967;1284
C;868;1521;868;1548;888;1548;888;1521
B;909;1906;909;1934;928;1934;928;1906
B;1406;1958;1406;1977;1422;1977;1422;1958
B;1388;2038;1388;2066;1406;2066;1406;2038
B;1020;2137;1020;2157;1037;2157;1037;2137
D;871;2197;871;2224;892;2224;892;2197
A;2000;2965;2000;2966;2000;2966;2000;2965
